,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
512,20 Spring Street,20 Spring Street is a   mid-rise  walk-up  building.,"20 Spring Street,  New York, NY 10012","NoLiTa,   Manhattan","6 no-fee, 4 fee ads",1900,6 floors 15 units,,,,
513,20 West 10th Street,20 West 10th Street is a  nineteenth century  low-rise  landmark walk-up  building.,"20 West 10th Street,  New York, NY 10011","Central Village,   Manhattan",1 fee ad,1860,4 floors 20 units,,,,
514,20 X,20 X is a   high-rise  landmark doorman  building.   The building's amenities include a gym.  The apartments  have  high ceilings.,"20 Exchange Place,  New York, NY 10005","Financial District,   Manhattan",(no current listings),1931,57 floors 350 units,www.20xnyc.com,,,212-937-6790
515,20-22 Prince Street,20-22 Prince Street is a   mid-rise  walk-up  building.,"20 Prince Street,  22 Prince Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,6 floors 48 units,,9300 Realty Inc,212-228-9300,
516,200 Avenue A,200 Avenue A is a   mid-rise  walk-up  building.,"200 Avenue A,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1910,6 floors 15 units,,,,
517,200 Water Street,"200 Water Street is a  post-war  high-rise  doorman elevator  building.   The building's amenities include a gym. Originally built as an office building, 200 Water (127 John) is well-known for its iconic 50' (three-story-high) digital clock on one of its walls. The award-winning clock is a creation of Rudolph de Harak. The building was inspired by the principles of International Style.    The apartments  have  high ceilings (9' 6"" - 21' 6"").","200 Water Street,  New York, NY 10038","Financial District,   Manhattan",15 no-fee ads,1973,31 floors 576 units,www.rockrose.com,Rockrose Development LLC,,212-204-1220
518,200 Waverly Place,200 Waverly Place is a   mid-rise  landmark walk-up  building.,"200 Waverly Place,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
519,201 Allen Street,201 Allen Street is a   mid-rise  walk-up  building.,"201 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 27 units,,,,
520,201 East 12th Street,201 East 12th Street is a   mid-rise  elevator  building.   The building's amenities include a laundry.,"201 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1930  (approximate),6 floors 120 units,,,,
521,201 East 2nd Street,201 East 2nd Street is a   mid-rise  walk-up  building.,"201 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1925,6 floors 25 units,,Westminster City Living,212-533-2224,
522,201 Pearl Street,201 Pearl Street is a  modern  high-rise  elevator  building.,"201 Pearl Street,  New York, NY 10038","Financial District,   Manhattan",2 no-fee ads,2007,28 floors 189 units,,TF Cornerstone Inc.,212-672-1000,
523,201 Sullivan Street,201 Sullivan Street is a   low-rise  walk-up  building.,"201 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,"Gatsby Enterprises, LLC",,
524,201 West 11th Street,201 West 11th Street is a   mid-rise  landmark elevator  building.     Rent includes heat and hot water.,"201 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,6 floors 42 units,,,,
525,202 East 13th Street,202 East 13th Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"202 East 13th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,1920,5 floors 27 units,,9300 Realty Inc,212-228-9300,
526,202 East 7th Street,202 East 7th Street is a   mid-rise  walk-up  building.,"202 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1910,6 floors 18 units,,,,
527,202 Elizabeth Street,202 Elizabeth Street is a   mid-rise  walk-up  building.,"202 Elizabeth Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,6 floors 27 units,,S.W. Management / City & Suburban,212-517-3000,
528,202 First Avenue,202 First Avenue is a   mid-rise  walk-up  building.,"202 First Avenue,  New York, NY 10009","East Village,   Manhattan",(no current listings),1905,6 floors 20 units,,,,
529,202 Grand Street,202 Grand Street is a   mid-rise  walk-up  building.,"202 Grand Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1910,6 floors 35 units,,,,
530,202 Mott Street,202 Mott Street is a   mid-rise  walk-up  building.,"202 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",2 fee ads,1900,6 floors 35 units,,,,
531,202 Sixth Avenue,202 Sixth Avenue is a   mid-rise  landmark elevator  building.,"202 Sixth Avenue,  New York, NY 10013","SoHo,   Manhattan",(no current listings),1910,6 floors 26 units,,"Gatsby Enterprises, LLC",,
532,202 Thompson Street,202 Thompson Street is a   mid-rise  landmark walk-up  building.,"202 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",2 no-fee ads,1900,6 floors 20 units,,,,
533,203 Chrystie Street,203 Chrystie Street is a   low-rise  walk-up  building.,"203 Chrystie Street,  New York, NY 10002","Lower East Side,   Manhattan",2 no-fee ads,1900,5 floors 20 units,,,,
534,203 Grand Street,203 Grand Street is a  turn-of-the-century  mid-rise  walk-up  building.,"203 Grand Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1910,7 floors 30 units,,,,
535,203 Rivington Street,203 Rivington Street is a   low-rise  elevator  building.,"203 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1906,5 floors 71 units,,,,
536,204 East 7th Street,204 East 7th Street is a   mid-rise  walk-up  building.,"204 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
537,204 Spring Street,204 Spring Street is a  turn-of-the-century  mid-rise  walk-up  building.    The apartments  have  high ceilings.,"204 Spring Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,7 floors 26 units,,,,
538,204 West 14th Street,204 West 14th Street is a  post-war  mid-rise  elevator  building.,"204 West 14th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1969,6 floors 52 units,,,,
539,205 Allen Street,205 Allen Street is a   mid-rise  walk-up  building.,"205 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",2 no-fee ads,1920,6 floors 33 units,,,,
540,205 Church Street,205 Church Street is a  post-war  high-rise   building.,"205 Church Street,  New York, NY 10007","TriBeCa,   Manhattan",(no current listings),1954,15 floors,,,,
541,205 Mott Street,205 Mott Street is a   low-rise  walk-up  building.,"205 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
542,205 West 13th Street,205 West 13th Street is a  post-war  mid-rise  landmark elevator  building.   The building's amenities include a laundry.,"205 West 13th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1962,7 floors 55 units,,,,
543,206 East 6th Street,206 East 6th Street is a   low-rise  walk-up  building.,"206 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 17 units,,,,
544,206 East 7th Street,206 East 7th Street is a   mid-rise  walk-up  building.,"206 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
545,206 Rivington Street,206 Rivington Street is a   mid-rise  walk-up  building.,"206 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 25 units,,,,
546,206 Thompson Street,206 Thompson Street is a   mid-rise  landmark walk-up  building.,"206 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
547,206-208 Avenue B,206-208 Avenue B is a   low-rise  walk-up  building.,"206-208 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 24 units,,,,
548,207 Avenue B,207 Avenue B is a   low-rise  walk-up  building.,"207 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,4 floors 20 units,,,,
549,207 Madison Street,207 Madison Street is a   mid-rise  walk-up  building.,"207 Madison Street,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1920,6 floors 20 units,,,,
550,207 West 10th Street,207 West 10th Street is a   mid-rise  landmark walk-up  building.,"207 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,6 floors 24 units,,,,
551,207 West 11th Street,207 West 11th Street is a   mid-rise  landmark walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"207 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1900,6 floors 25 units,,,,
552,208 Grand Street,208 Grand Street is a   mid-rise  walk-up  building.,"208 Grand Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1920,6 floors 22 units,,,,
553,208 Thompson Street,208 Thompson Street is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"208 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1909,7 floors 27 units,,,,
554,209 East 10th Street,209 East 10th Street is a   low-rise  walk-up  building.,"209 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 15 units,,"Big Apple Management, LLC",212-947-5656,
555,209 East 4th Street,209 East 4th Street is a   low-rise  walk-up  building.,"209 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
556,209 East 5th Street,209 East 5th Street is a   low-rise  walk-up  building.,"209 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
557,209 Grand Street,209 Grand Street is a   mid-rise  walk-up  building.,"209 Grand Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
558,209 Mulberry Street,209 Mulberry Street is a   low-rise  walk-up  building.,"209 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,,,
559,209-211 West 13th Street,209-211 West 13th Street is a   mid-rise  landmark walk-up  building.,"209 West 13th Street,  211 West 13th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1900,6 floors 36 units,,,,
560,21 Catherine Street,21 Catherine Street is a   low-rise  walk-up  building.,"21 Catherine Street,  New York, NY 10038","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 15 units,,,,
561,21 East 2nd Street,21 East 2nd Street is a   mid-rise  walk-up  building.,"21 East 2nd Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 42 units,,,,
562,21 East 9th Street,21 East 9th Street is a  mid-twentieth century  low-rise  landmark elevator  building.   The building's amenities include a laundry.,"21 East 9th Street,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1938,5 floors 18 units,,JR Properties,,212-463-9970
563,21 Essex Street,21 Essex Street is a   low-rise  walk-up  building.,"21 Essex Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
564,21 West Street,"21 West Street is a   high-rise  landmark doorman elevator  building.   The building's amenities include a laundry, a gym, and a children's play room. Built between 1929 and 1931 in the Art Deco style, restored and converted in 1998. Architectural details abound in the halls, lobby and elevators.","21 West Street,  New York, NY 10006","Financial District,   Manhattan",6 no-fee ads,1931  (approximate),31 floors 293 units,www.21west.com,"Rose Associates, Inc",,646-776-4464
565,210 Rivington Street,210 Rivington Street is a   mid-rise  walk-up  building.,"210 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1920,6 floors 20 units,,,,
566,210 Sullivan Street,210 Sullivan Street is a   low-rise  landmark walk-up  building.,"210 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,5 floors 25 units,,,,
567,210 Thompson Street,210 Thompson Street is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"210 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1909,7 floors 27 units,,,,
568,210 West 10th Street,210 West 10th Street is a   mid-rise  landmark walk-up  building.,"210 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 39 units,,,,
569,210-212 First Avenue,210-212 First Avenue is a   mid-rise  walk-up  building.,"210 First Avenue,  212 First Avenue,  New York, NY 10009","East Village,   Manhattan",(no current listings),1912,6 floors 20 units,,,,
570,211 Avenue A,211 Avenue A is a   mid-rise  walk-up  building.,"211 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 35 units,,Westminster City Living,212-533-2224,
571,211 East 11th Street,211 East 11th Street is a   low-rise  walk-up  building.,"211 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
572,211 East 5th Street,211 East 5th Street is a   low-rise  walk-up  building.,"211 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1905,5 floors 20 units,,,,
573,212 Grand Street,212 Grand Street is a   mid-rise  elevator  building.,"212 Grand Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1920,7 floors 15 units,,,,
574,212 Lafayette Street,212 Lafayette Street is a   low-rise  walk-up  building.,"212 Lafayette Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
575,213 East 10th Street,213 East 10th Street is a   low-rise  walk-up  building.,"213 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
576,213 East 11th Street,213 East 11th Street is a   low-rise  walk-up  building.,"213 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
577,213 Sixth Avenue,213 Sixth Avenue is a   mid-rise  landmark walk-up  building.,"213 Sixth Avenue,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1920,6 floors 21 units,,,,
578,213-215 West 13th Street,213-215 West 13th Street is a   mid-rise  landmark walk-up  building.,"213 West 13th Street,  215 West 13th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1910,6 floors 24 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
579,214 East 10th Street,214 East 10th Street is a   mid-rise  walk-up  building.,"214 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
580,214 East 11th Street,214 East 11th Street is a   mid-rise  elevator  building.,"214 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 23 units,,,,
581,214 First Avenue,214 First Avenue is a   mid-rise  walk-up  building.,"214 First Avenue,  New York, NY 10009","East Village,   Manhattan",(no current listings),1910,6 floors 25 units,,,,
582,214 Thompson Street,214 Thompson Street is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"214 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1909,7 floors 27 units,,,,
583,215 Avenue A,215 Avenue A is a  nineteenth century  low-rise  walk-up  building.,"215 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1880,5 floors 18 units,,,,
584,215 East 10th Street,215 East 10th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"215 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
585,215 East 4th Street,215 East 4th Street is a   mid-rise  walk-up  building.,"215 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 28 units,,,,
586,215 West 10th street,215 West 10th street is a   mid-rise  landmark elevator  building.,"215 West 10th street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,6 floors 25 units,,A & R Kalimian Realty,212-243-2291  212-751-8050,
587,217 Avenue A,217 Avenue A is a  nineteenth century  low-rise  walk-up  building.,"217 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1880,5 floors 18 units,,,,
588,217 East 10th Street,217 East 10th Street is a   low-rise  walk-up  building.,"217 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
589,217 Madison Street,217 Madison Street is a   low-rise  walk-up  building.,"217 Madison Street,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
590,218 East 6th Street,218 East 6th Street is a   low-rise  walk-up  building.,"218 East 6th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,1925,5 floors 21 units,,Jakobson Properties,212-533-1300,
591,218 Thompson Street,218 Thompson Street is a   mid-rise  landmark walk-up  building.,"218 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 34 units,,,,
592,218 West 10th Street,218 West 10th Street is a   mid-rise  landmark elevator  building.,"218 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1930,6 floors 35 units,,,,
593,219 East 10th Street,219 East 10th Street is a   mid-rise  walk-up  building.,"219 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 21 units,,,,
594,219 East 2nd Street,219 East 2nd Street is a   low-rise  walk-up  building.   The building's amenities include a laundry.,"219 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
595,219 Mott Street,219 Mott Street is a   low-rise  walk-up  building.,"219 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
596,22 James Street,22 James Street is a   mid-rise  walk-up  building.,"22 James Street,  New York, NY 10038","Two Bridges,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
597,22 King Street,22 King Street is a   mid-rise  landmark walk-up  building.,"22 King Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1920,6 floors 24 units,,GPG Management,212-288-1999,
598,22 Leroy Street,22 Leroy Street is a   mid-rise  landmark walk-up  building.,"22 Leroy Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,6 floors 24 units,,,,
599,22 Mulberry Street,22 Mulberry Street is a   low-rise  walk-up  building.,"22 Mulberry Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
600,22 River Terrace,22 River Terrace is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"22 River Terrace,  New York, NY 10282","Battery Park City,   Manhattan",(no current listings),2001  (approximate),27 floors 324 units,,,,
601,22 Spring Street,22 Spring Street is a   low-rise  walk-up  building.,"22 Spring Street,  New York, NY 10012","NoLiTa,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,,,
602,220 Avenue A,220 Avenue A is a   low-rise  walk-up  building.,"220 Avenue A,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
603,220 Sullivan Street,220 Sullivan Street is a   low-rise  elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"220 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",5 no-fee ads,1900,5 floors 35 units,,Sky Management,212-759-1300,
604,220 West 13th Street,220 West 13th Street is a   mid-rise  landmark elevator  building.,"220 West 13th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1928,6 floors 22 units,,,,
605,220 West 14th Street,220 West 14th Street is a   low-rise  walk-up  building.,"220 West 14th Street,  New York, NY 10011","West Village,   Manhattan",1 no-fee ad,1920,5 floors 17 units,,,,
606,221 East 10th Street,221 East 10th Street is a   mid-rise  walk-up  building.,"221 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
607,221 East 11th Street,221 East 11th Street is a   low-rise  walk-up  building.,"221 East 11th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,4 floors 20 units,,9300 Realty Inc,212-228-9300,
608,221 East Broadway,221 East Broadway is a   mid-rise  walk-up  building.,"221 East Broadway,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1910,6 floors 26 units,,,,
609,221 Mott Street,221 Mott Street is a   low-rise  walk-up  building.,"221 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 18 units,,9300 Realty Inc,212-228-9300,
610,222 East 12th Street,222 East 12th Street is a   low-rise  walk-up  building.,"222 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,4 floors 23 units,,Icon Realty Management LLC,212-675-7100,
611,222 First Avenue,222 First Avenue is a   low-rise  walk-up  building.,"222 First Avenue,  New York, NY 10009","East Village,   Manhattan",(no current listings),1922,5 floors 16 units,,,,
612,222-224 Thompson Street,222-224 Thompson Street is a   mid-rise  landmark walk-up  building.,"222 Thompson Street,  224 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 32 units,,,,
613,223 East 10th Street,223 East 10th Street is a   mid-rise  walk-up  building.,"223 East 10th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,6 floors 21 units,,,,
614,223 Madison Street,223 Madison Street is a   low-rise  walk-up  building.,"223 Madison Street,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
615,223 Mott Street,223 Mott Street is a   low-rise  walk-up  building.,"223 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 18 units,,Icon Realty Management LLC,212-675-7100,
616,223 Second Avenue,223 Second Avenue is a   mid-rise  elevator  building.,"223 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1925,7 floors 65 units,,Stellar Management,,212-843-3760
617,223 Sullivan Street,223 Sullivan Street is a   low-rise  landmark walk-up  building.,"223 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,5 floors 21 units,,,,
618,224 Sullivan Street,224 Sullivan Street is a   low-rise  landmark walk-up  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.  Rent includes heat and hot water.,"224 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",16 no-fee ads,1900,5 floors 88 units,,Sky Management,212-759-1300,
619,225 East 10th Street,225 East 10th Street is a   low-rise  elevator  building.,"225 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 39 units,,,,
620,225 East 5th Street,225 East 5th Street is a   low-rise  landmark walk-up  building.,"225 East 5th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,5 floors 27 units,,,,
621,226 West 4th Street,226 West 4th Street is a   low-rise  landmark walk-up  building.,"226 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,5 floors 20 units,,,,
622,226-228 East 14th Street,226-228 East 14th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"226-228 East 14th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 36 units,,,,
623,227 East 5th Street,227 East 5th Street is a   low-rise  landmark walk-up  building.,"227 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1905,5 floors 22 units,,,,
624,227 Mott Street,227 Mott Street is a   low-rise  walk-up  building.,"227 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
625,227 Mulberry Street,227 Mulberry Street is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"227 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",2 no-fee ads,2000  (approximate),7 floors 54 units,,,,
626,227 Waverly Place,227 Waverly Place is a   mid-rise  landmark walk-up  building.,"227 Waverly Place,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 29 units,,,,
627,228 Avenue B,228 Avenue B is a   mid-rise  walk-up  building.,"228 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 21 units,,,,
628,228 West 4th Street,228 West 4th Street is a   low-rise  landmark walk-up  building.,"228 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,5 floors 16 units,,,,
629,229 East 10th Street,229 East 10th Street is a   low-rise  walk-up  building.,"229 East 10th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,5 floors 21 units,,,,
630,229 East 11th Street,229 East 11th Street is a   mid-rise  walk-up  building.,"229 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
631,229 East 13th Street,229 East 13th Street is a  modern  mid-rise  elevator  building.,"229 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),2008,8 floors 28 units,,,,
632,229 Henry Street,229 Henry Street is a   mid-rise  walk-up  building.,"229 Henry Street,  New York, NY 10002","Two Bridges,   Manhattan",1 no-fee ad,1900,6 floors 24 units,,,,
633,23 Catherine Street,23 Catherine Street is a   mid-rise  walk-up  building.,"23 Catherine Street,  New York, NY 10038","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,6 floors 15 units,,,,
634,23 Grove Street,23 Grove Street is a  nineteenth century  mid-rise  landmark elevator  building.,"23 Grove Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1888,6 floors 25 units,,,,
635,23 Jones Street,23 Jones Street is a   low-rise  landmark walk-up  building.    The apartments  have  high ceilings.,"23 Jones Street,  New York, NY 10014","Central Village,   Manhattan",2 no-fee ads,1900,5 floors 24 units,,Jakobson Properties,212-533-1300,
636,23 Leroy Street,23 Leroy Street is a   low-rise  landmark walk-up  building.,"23 Leroy Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
637,23 Monroe Street,23 Monroe Street is a   low-rise  walk-up  building.,"23 Monroe Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1915,5 floors 18 units,,,,
638,230 East 7th Street,230 East 7th Street is a   low-rise  walk-up  building.,"230 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
639,230 Mulberry Street,230 Mulberry Street is a   low-rise  walk-up  building.,"230 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",4 no-fee ads,1900,5 floors 18 units,,,,
640,230 Thompson Street,230 Thompson Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"230 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",1 no-fee ad,1893  (approximate),6 floors 32 units,,Time Equities,212-206-6000,
641,231 East 10th Street,231 East 10th Street is a   low-rise  walk-up  building.,"231 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
642,231 East 13th Street,231 East 13th Street is a   mid-rise  elevator  building.,"231 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 26 units,,,,
643,231 Eldridge Street,231 Eldridge Street is a   mid-rise  walk-up  building.,"231 Eldridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
644,232 Elizabeth Street,232 Elizabeth Street is a   mid-rise  walk-up  building.,"232 Elizabeth Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1910,6 floors 28 units,,9300 Realty Inc,212-228-9300,
645,233 East 12th Street,233 East 12th Street is a   mid-rise  walk-up  building.,"233 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1930,6 floors 22 units,,Landmark Resources LLC,212-644-4455,
646,233-235 East 10th St,233-235 East 10th St is a   low-rise  walk-up  building.,"233 East 10th Street,  235 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 40 units,,,,
647,234 East 3rd Street,234 East 3rd Street is a  modern  mid-rise  elevator  building.,"234 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",1 no-fee ad,2001,6 floors 19 units,,,,
648,234 East 7th Street,234 East 7th Street is a   low-rise  walk-up  building.,"234 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
649,234 Mulberry Street,234 Mulberry Street is a   low-rise  walk-up  building.,"234 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",1 no-fee ad,1901,5 floors 18 units,,"Gatsby Enterprises, LLC",,
650,234 Thompson Street,234 Thompson Street is a   mid-rise  walk-up  building.     Rent includes heat and hot water.,"234 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",3 no-fee ads,1900  (approximate),6 floors 35 units,,,,
